symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-08-02 00:00:00+00:00,104.2,104.21,102.64,103.23,1012602,50.0409222433,50.045724635,49.2917491272,49.5750902416,2025204,0.0,1.0
HDB,2018-08-03 00:00:00+00:00,103.99,104.45,103.78,104.01,648386,49.9400720161,50.1609820375,49.8392217889,49.9496767996,1296772,0.0,1.0
HDB,2018-08-06 00:00:00+00:00,103.15,104.07,102.77,103.68,655964,49.5366711074,49.9784911503,49.3541802202,49.7911978712,1311928,0.0,1.0
HDB,2018-08-07 00:00:00+00:00,103.82,104.35,102.72,103.68,790368,49.858431356,50.1129581198,49.3301682613,49.7911978712,1580736,0.0,1.0
HDB,2018-08-08 00:00:00+00:00,104.64,104.81,103.89,104.06,606102,50.2522274812,50.3338681412,49.8920480984,49.9736887585,1212204,0.0,1.0
HDB,2018-08-09 00:00:00+00:00,104.22,104.48,103.69,104.23,242628,50.0505270268,50.1753892128,49.796000263,50.0553294186,485256,0.0,1.0
HDB,2018-08-10 00:00:00+00:00,101.94,102.65,100.41,101.85,1712407,48.9555817033,49.2965515189,48.2208157624,48.9123601773,3424814,0.0,1.0
HDB,2018-08-13 00:00:00+00:00,100.28,101.61,100.19,101.09,961217,48.1583846694,48.7971027748,48.1151631435,48.5473784028,1922434,0.0,1.0
HDB,2018-08-14 00:00:00+00:00,99.99,101.1,99.81,101.07,792367,48.0191153081,48.5521807946,47.9326722562,48.5377736193,1584734,0.0,1.0
HDB,2018-08-15 00:00:00+00:00,99.15,99.9,98.68,99.7,925158,47.6157143994,47.9758937822,47.3900019862,47.8798459468,1850316,0.0,1.0
HDB,2018-08-16 00:00:00+00:00,99.51,99.87,98.92,99.79,723101,47.7886005031,47.9614866069,47.5052593887,47.9230674727,1446202,0.0,1.0
HDB,2018-08-17 00:00:00+00:00,99.99,100.24,99.41,99.44,266585,48.0191153081,48.1391751024,47.7405765854,47.7549837608,533170,0.0,1.0
HDB,2018-08-20 00:00:00+00:00,100.7,101.44,100.39,100.78,408777,48.3600851238,48.7154621148,48.2112109789,48.3985042579,817554,0.0,1.0
HDB,2018-08-21 00:00:00+00:00,100.96,101.87,100.91,100.93,530699,48.4849473098,48.9219649609,48.4609353509,48.4705401345,1061398,0.0,1.0
HDB,2018-08-22 00:00:00+00:00,100.95,101.23,100.61,100.99,406374,48.480144918,48.6146118876,48.3168635978,48.4993544851,812748,0.0,1.0
HDB,2018-08-23 00:00:00+00:00,99.17,100.62,99.1,100.07,604112,47.625319183,48.3216659896,47.5917024406,48.0575344423,1208224,0.0,1.0
HDB,2018-08-24 00:00:00+00:00,100.13,100.16,99.28,99.8,363222,48.0863487929,48.1007559682,47.6781454924,47.9278698645,726444,0.0,1.0
HDB,2018-08-27 00:00:00+00:00,101.41,101.52,100.21,100.29,430276,48.7010549394,48.7538812489,48.124767927,48.1631870612,860552,0.0,1.0
HDB,2018-08-28 00:00:00+00:00,101.09,101.69,100.53,101.61,230781,48.5473784028,48.835521909,48.2784444637,48.7971027748,461562,0.0,1.0
HDB,2018-08-29 00:00:00+00:00,101.42,101.5,100.4,100.57,550731,48.7058573312,48.7442764654,48.2160133707,48.2976540308,1101462,0.0,1.0
HDB,2018-08-30 00:00:00+00:00,100.76,100.87,100.1,100.5,508249,48.3888994744,48.4417257839,48.0719416176,48.2640372884,1016498,0.0,1.0
HDB,2018-08-31 00:00:00+00:00,101.27,101.45,100.15,100.4,459971,48.6338214547,48.7202645065,48.0959535764,48.2160133707,919942,0.0,1.0
HDB,2018-09-04 00:00:00+00:00,99.61,99.87,98.7,99.7,641789,47.8366244208,47.9614866069,47.3996067698,47.8798459468,1283578,0.0,1.0
HDB,2018-09-05 00:00:00+00:00,98.39,99.0,98.06,98.9,582814,47.2507326249,47.5436785229,47.0922536965,47.4956546052,1165628,0.0,1.0
HDB,2018-09-06 00:00:00+00:00,98.27,98.68,98.06,98.48,696828,47.1931039237,47.3900019862,47.0922536965,47.2939541508,1393656,0.0,1.0
HDB,2018-09-07 00:00:00+00:00,98.16,98.71,97.99,98.44,575054,47.1402776142,47.4044091615,47.0586369541,47.2747445838,1150108,0.0,1.0
HDB,2018-09-10 00:00:00+00:00,96.82,98.08,96.53,97.65,780141,46.496757117,47.10185848,46.3574877557,46.8953556339,1560282,0.0,1.0
HDB,2018-09-11 00:00:00+00:00,95.02,95.42,93.97,95.0,780378,45.6323265984,45.8244222692,45.1280754626,45.6227218149,1560756,0.0,1.0
HDB,2018-09-12 00:00:00+00:00,95.4,96.0,95.05,96.0,728736,45.8148174857,46.1029609919,45.6467337737,46.1029609919,1457472,0.0,1.0
HDB,2018-09-13 00:00:00+00:00,96.44,96.66,95.75,96.04,348964,46.3142662298,46.4199188487,45.9829011976,46.122170559,697928,0.0,1.0
HDB,2018-09-14 00:00:00+00:00,97.01,97.13,96.45,96.7,453067,46.5880025607,46.6456312619,46.3190686215,46.4391284158,906134,0.0,1.0
HDB,2018-09-17 00:00:00+00:00,94.49,95.23,94.41,94.99,476621,45.3777998346,45.7331768256,45.3393807005,45.6179194231,953242,0.0,1.0
HDB,2018-09-18 00:00:00+00:00,93.28,94.46,93.13,94.46,765684,44.7967104304,45.3633926593,44.7246745539,45.3633926593,1531368,0.0,1.0
HDB,2018-09-19 00:00:00+00:00,93.87,94.1,92.57,93.18,1618124,45.0800515449,45.1905065556,44.4557406148,44.7486865127,3236248,0.0,1.0
HDB,2018-09-20 00:00:00+00:00,94.9,95.47,94.37,94.53,986161,45.5746978972,45.8484342281,45.3201711334,45.3970094017,1972322,0.0,1.0
HDB,2018-09-21 00:00:00+00:00,93.69,94.74,93.17,93.9,1043482,44.993608493,45.4978596289,44.743884121,45.0944587202,2086964,0.0,1.0
HDB,2018-09-24 00:00:00+00:00,91.39,92.25,90.63,92.0,1385045,43.8890583859,44.3020640781,43.5240766114,44.1820042839,2770090,0.0,1.0
HDB,2018-09-25 00:00:00+00:00,92.34,92.68,91.7,92.41,1030452,44.3452856041,44.5085669242,44.0379325308,44.3789023465,2060904,0.0,1.0
HDB,2018-09-26 00:00:00+00:00,92.78,93.91,92.49,92.59,1037545,44.5565908419,45.099261112,44.4173214806,44.4653453983,2075090,0.0,1.0
HDB,2018-09-27 00:00:00+00:00,93.39,93.99,92.86,92.86,532749,44.8495367399,45.1376802461,44.5950099761,44.5950099761,1065498,0.0,1.0
HDB,2018-09-28 00:00:00+00:00,94.1,94.81,92.78,94.16,1055153,45.1905065556,45.5314763713,44.5565908419,45.2193209062,2110306,0.0,1.0
HDB,2018-10-01 00:00:00+00:00,93.61,95.32,93.36,95.0,940457,44.9551893589,45.7763983515,44.8351295646,45.6227218149,1880914,0.0,1.0
HDB,2018-10-02 00:00:00+00:00,93.41,93.64,92.51,93.64,773079,44.8591415235,44.9695965342,44.4269262642,44.9695965342,1546158,0.0,1.0
HDB,2018-10-03 00:00:00+00:00,91.91,93.81,91.67,93.48,831554,44.138782758,45.0512371943,44.0235253555,44.8927582658,1663108,0.0,1.0
HDB,2018-10-04 00:00:00+00:00,90.06,90.7,89.57,90.0,1196634,43.2503402805,43.5576933538,43.0150230838,43.2215259299,2393268,0.0,1.0
