symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-09-11 00:00:00+00:00,95.02,95.42,93.97,95.0,780378,46.1002598834,46.2943253849,45.5908379419,46.0905566083,1560756,0.0,1.0
HDB,2018-09-12 00:00:00+00:00,95.4,96.0,95.05,96.0,728736,46.2846221098,46.5757203621,46.114814796,46.5757203621,1457472,0.0,1.0
HDB,2018-09-13 00:00:00+00:00,96.44,96.66,95.75,96.04,348964,46.7891924137,46.8959284396,46.4544294236,46.5951269122,697928,0.0,1.0
HDB,2018-09-14 00:00:00+00:00,97.01,97.13,96.45,96.7,453067,47.0657357534,47.1239554038,46.7940440513,46.9153349897,906134,0.0,1.0
HDB,2018-09-17 00:00:00+00:00,94.49,95.23,94.41,94.99,476621,45.8431230939,46.2021442717,45.8043099936,46.0857049708,953242,0.0,1.0
HDB,2018-09-18 00:00:00+00:00,93.28,94.46,93.13,94.46,765684,45.2560749518,45.8285681813,45.1833003887,45.8285681813,1531368,0.0,1.0
HDB,2018-09-19 00:00:00+00:00,93.87,94.1,92.57,93.18,1618124,45.5423215665,45.6539092299,44.9116086866,45.2075585764,3236248,0.0,1.0
HDB,2018-09-20 00:00:00+00:00,94.9,95.47,94.37,94.53,986161,46.0420402329,46.3185835726,45.7849034434,45.862529644,1972322,0.0,1.0
HDB,2018-09-21 00:00:00+00:00,93.69,94.74,93.17,93.9,1043482,45.4549920909,45.9644140323,45.2027069389,45.5568764791,2086964,0.0,1.0
HDB,2018-09-24 00:00:00+00:00,91.39,92.25,90.63,92.0,1385045,44.3391154572,44.7563562854,43.9703910043,44.635065347,2770090,0.0,1.0
HDB,2018-09-25 00:00:00+00:00,92.34,92.68,91.7,92.41,1030452,44.8000210233,44.9649766995,44.4895162209,44.833982486,2060904,0.0,1.0
HDB,2018-09-26 00:00:00+00:00,92.78,93.91,92.49,92.59,1037545,45.0134930749,45.5617281167,44.8727955863,44.9213119617,2075090,0.0,1.0
HDB,2018-09-27 00:00:00+00:00,93.39,93.99,92.86,92.86,532749,45.3094429647,45.600541217,45.0523061752,45.0523061752,1065498,0.0,1.0
HDB,2018-09-28 00:00:00+00:00,94.1,94.81,92.78,94.16,1055153,45.6539092299,45.9983754951,45.0134930749,45.6830190551,2110306,0.0,1.0
HDB,2018-10-01 00:00:00+00:00,93.61,95.32,93.36,95.0,940457,45.4161789906,46.2458090095,45.2948880521,46.0905566083,1880914,0.0,1.0
HDB,2018-10-02 00:00:00+00:00,93.41,93.64,92.51,93.64,773079,45.3191462398,45.4307339032,44.8824988614,45.4307339032,1546158,0.0,1.0
HDB,2018-10-03 00:00:00+00:00,91.91,93.81,91.67,93.48,831554,44.5914006091,45.5132117413,44.4749613082,45.3531077026,1663108,0.0,1.0
HDB,2018-10-04 00:00:00+00:00,90.06,90.7,89.57,90.0,1196634,43.6938476647,44.0043524671,43.4561174253,43.6647378394,2393268,0.0,1.0
HDB,2018-10-05 00:00:00+00:00,88.53,90.27,88.35,90.17,762262,42.9515471214,43.795732053,42.8642176457,43.7472156776,1524524,0.0,1.0
HDB,2018-10-08 00:00:00+00:00,88.86,89.13,88.1,88.29,648229,43.1116511601,43.2426453737,42.7429267073,42.8351078205,1296458,0.0,1.0
HDB,2018-10-09 00:00:00+00:00,87.84,88.88,87.73,88.39,832616,42.6167841313,43.1213544352,42.5634161184,42.8836241959,1665232,0.0,1.0
HDB,2018-10-10 00:00:00+00:00,86.51,89.24,86.51,88.8,1542556,41.9715163388,43.2960133866,41.9715163388,43.0825413349,3085112,0.0,1.0
